"","name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"1","Dr. Edmond Privat",2.66666666666667,0.577350269189626,3,12,32,"male","swiss"
"2","Gabriel Hanotaux",0,0,0,1,68,"male","french"
"3","Chikao/Chikas Fujisawa",2,0,2,30,27,"male","unknown"
"4","Commendatore Prof. Dionisio Anzilotti",1,0,1,23,51,"male","italian"
"5","Alfredo Blanco",2,0,2,71,45,"male","spanish"
"6","Joseph Louis Marie Charles Avenol",1,0,1,210,44,"male","french"
"7","Prof. Corrado Gini",2,0,2,19,NA,"male","italian"
"8","Prof. Domingo Barnès",2,0,2,13,NA,"male","spanish"
"9","Posthumus",2,0,2,1,NA,"male","dutch"
"10","L. Favre",9,0,9,36,NA,"male","unknown"
"11","Dr. G. G.  Kullmann",2,0,2,93,NA,"male","swiss"
"12","A. Kahan",5,0,5,15,NA,"male","unknown"
"13","Dr. Arthur Carl von Breycha-Vauthier",6,0,6,228,25,"male","austrian"
"14","Henri Bonnet",2,0,2,120,33,"male","french"
"15","Prof. John Bell Condliffe",2,0,2,72,40,"male","australian"
"16","Arthur Sweetser",0.8,0.836660026534076,1,324,31,"male","us-american"
"17","Prof. Louis Tardy",2,0,2,12,NA,"male","unknown"
"18","Yussuf S.  Alkabir",2,0,2,1,NA,"male","iraqi"
"19","Abdel Khalek  Hassouna Bey",2,0,2,1,NA,"male","egyptian"
"20","Gerald Heguerty Furtado Abraham",1.33333333333333,1.15470053837925,2,309,36,"male","english"
"21","Rev. A. H. Acheson",2,0,2,1,NA,"male","new_zealander"
"22","Joseph Adamek",2,0,2,114,46,"male","polish"
"23","Gerty Lucie Kotte-Rickli",6,0,6,194,32,"female","albanian,swiss"
"24","Bryan Fullerton Adams",4,0,4,126,41,"male","english"
"25","Setsuichi Aoki",2.66666666666667,1.15470053837925,2,95,32,"male","unknown"
"26","Robert André Felix Bach",2,0,2,33,48,"male","french"
"27","Dr. Jur. Thanassis (Athanase) Aghnides",1.14285714285714,0.899735410842437,1,298,30,"male","unknown"
"28","Francis Yeats-Brown",2,0,2,1,NA,"male","english"
"29","Dr. Hawkling Yen",2,0,2,16,NA,"male","chinese"
"30","Thchen-p'ong Yu",2,0,2,5,29,"male","chinese"
"31","Eugène Xammar",2,0,2,15,NA,"male","spanish"
"32","Solon George Xenakis",3.16666666666667,1.83484785926972,2,207,39,"male","greek"
