"","x"
"1","Swiss"
"2","French"
"3",NA
"4","Italian"
"5","Spanish"
"6","Dutch"
"7","Austrian"
"8","Australian"
"9","US-American"
"10","Iraqi"
"11","Egyptian"
"12","English"
"13","New_Zealander"
"14","Polish"
"15","Albanian,Swiss"
"16","Chinese"
"17","Greek"
"18","Costa_Rican"
"19","Indian"
"20","Chilean"
"21","Irish"
"22","Turkish"
"23","German"
"24","Latvian"
"25","Armenian"
"26","Lithuanian"
"27","Canadian"
"28","Finish"
"29","Bulgarian"
"30","Dane"
"31","Norwegian"
"32","Uruguayan"
"33","Estonian"
"34","Swedish"
"35","Romanian"
"36","Hungarian"
"37","Peruvian"
"38","Venezuelan"
"39","Portugese"
"40","Yugoslav"
"41","Brazilian"
"42","Mexican"
"43","British"
"44","Iranian"
"45","Icelander"
"46","Guatemalan"
"47","Albanian"
"48","Luxembourgish"
"49","South_African"
"50","Italian,Italian"
"51","Paraguayan"
"52","Thai"
"53","Siamese"
"54","Salvadorian"
"55","Argentinian"
"56","Czech"
"57","Persian"
"58","Russian"
"59","Danziger"
"60","Haitian"
"61","Cuban"
"62","Bolivian"
"63","Dane,Dane"
"64","Panamanian"
"65","British,English"
"66","British,British"
"67","British,Swiss"
"68","Swiss,Swiss, Swiss"
"69","Swiss,Swiss"
"70","Dutch,Swiss"
"71","Italian,Swiss"
"72","Swiss,German"
"73","French,Italian"
"74","French,French"
"75","Swiss,French"
"76","Russian,British"
"77","French,British, Swiss"
"78","Syrian"
"79","English,Dane"
"80","English,US-American"
"81","Austrian,Austrian"
"82","French,Swiss"
"83","Swiss,Armenian"
"84","Latvian,Swiss"
"85","Russian,Swiss"
"86","Swiss,English"
"87","Italian,English"
"88","Swiss,British"
"89","Ecuadorian"
"90","Swiss,Syrian"
"91","Swiss,Yugoslav"
"92",",Swiss"
