"","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","begin_date","end_date"
"1",4947,"Haakon Vigander",0,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1929,8,26,1929,9,16,"Norwegian",1929-01-01,1929-01-01
"2",8742,"Arne  Giverholt",0,"LoN Assistant","LoN Second Division","LoN Information Section",1882,1925,4,1,1925,9,30,"Norwegian",1925-01-01,1925-01-01
"3",8742,"Arne  Giverholt",0,"LoN Assistant","LoN Second Division","LoN Information Section",1882,1933,2,16,1933,4,5,"Norwegian",1933-01-01,1933-01-01
"4",8742,"Arne  Giverholt",0,"LoN Assistant","LoN Second Division","LoN Information Section",1882,1933,4,26,1933,6,10,"Norwegian",1933-01-01,1933-01-01
"5",5374,"Victor  Mogens",0,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1930,9,8,1930,9,29,"Norwegian",1930-01-01,1930-01-01
"6",5286,"Dr. A. A. Koskenjaakko",0,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1931,8,31,1931,9,21,"Norwegian",1931-01-01,1931-01-01
"7",5536,"Ingvald Forfang",0,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1931,8,31,1931,9,21,"Norwegian",1931-01-01,1931-01-01
"8",11520,"Edith Hofgaard",1,"LoN Shorthand Typist","LoN Second Division","LoN Pool",1904,1930,4,1,1939,6,11,"Norwegian",1930-01-01,1939-01-01
"9",11520,"Edith Hofgaard",1,"LoN Shorthand Typist","LoN Second Division","LoN Mandates Section",1904,1939,6,12,1940,11,30,"Norwegian",1939-01-01,1940-01-01
"10",11520,"Edith Hofgaard",1,"LoN Shorthand Typist","LoN Second Division","LoN Personnel Office",1904,1944,6,7,1944,9,30,"Norwegian",1944-01-01,1944-01-01
"11",11520,"Edith Hofgaard",1,"LoN Shorthand Typist","LoN Second Division","LoN Pool",1904,1944,10,1,1946,7,10,"Norwegian",1944-01-01,1946-01-01
"12",5191,"Rasmus Stauri",0,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1931,8,31,1931,9,21,"Norwegian",1931-01-01,1931-01-01
"13",10393,"Elisa Jebsen",1,"LoN Librarian","LoN First Division","LoN Library",1885,1925,1,5,1940,5,17,"Norwegian",1925-01-01,1940-01-01
"14",11491,"Ellen Rolfsen",1,"LoN Cataloguer","LoN Second Division","LoN Library",1895,1920,7,3,1923,12,31,"Norwegian",1920-01-01,1923-01-01
"15",11269,"Gunhild Lippestad",1,"LoN Secretary","LoN First Division","LoN Administrative and Minorities Section",1885,1920,4,15,1933,10,27,"Norwegian",1920-01-01,1933-01-01
"16",11269,"Gunhild Lippestad",1,"LoN Secretary","LoN First Division","LoN Political Section",1885,1933,10,27,1940,3,31,"Norwegian",1933-01-01,1940-01-01
"17",5494,"Berit Gulliksen",1,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1933,9,21,1933,10,12,"Norwegian",1933-01-01,1933-01-01
"18",10154,"Hedvig Schaanning",1,"LoN Cataloguer","LoN Second Division","LoN Library",1893,1921,5,1,1922,4,15,"Norwegian",1921-01-01,1922-01-01
"19",11231,"Henriette Rieber-Mohn",1,"LoN Shorthand Typist","LoN Second Division","LoN Information Section",1889,1924,5,1,1940,11,30,"Norwegian",1924-01-01,1940-01-01
"20",11497,"Ingrid Heum",1,"LoN Cataloguer","LoN Second Division","LoN Library",1898,1922,5,15,1925,1,8,"Norwegian",1922-01-01,1925-01-01
"21",5354,"Edvard Hambro",0,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",1911,1933,9,22,1933,10,13,"Norwegian",1933-01-01,1933-01-01
"22",8593,"Kaare Filseth",0,"LoN Senior Assistant","LoN First Division","LoN Information Section",1901,1923,10,10,1924,5,15,"Norwegian",1923-01-01,1924-01-01
"23",10220,"Karen Seip",1,"LoN Cataloguer","LoN Second Division","LoN Library",1890,1921,3,17,1921,6,17,"Norwegian",1921-01-01,1921-01-01
"24",5376,"Lous  Mohr",1,"LoN Temporary Collaborator","LoN First Division","LoN Information Section",NA,1934,9,7,1934,9,28,"Norwegian",1934-01-01,1934-01-01
"25",9500,"Mona Nyhuus",1,"LoN Cataloguer","LoN Second Division","LoN Library",1899,1920,10,2,1921,5,13,"Norwegian",1920-01-01,1921-01-01
"26",4974,"Peter Martin Anker",0,"LoN Member of Section","LoN First Division","LoN Mandates Section",1903,1931,8,1,1939,6,12,"Norwegian",1931-01-01,1939-01-01
"27",4974,"Peter Martin Anker",0,"LoN Member of Section","LoN First Division","LoN Department I (Department of General Affairs)",1903,1939,6,12,1946,7,31,"Norwegian",1939-01-01,1946-01-01
