"","constant","pname","1927-01-01","1927-07-01","1928-01-01","1928-07-01","1929-01-01","1929-07-01","1930-01-01","1930-07-01","1931-01-01","1931-07-01","1932-01-01","1932-07-01","1933-01-01","1933-07-01","1934-01-01","1934-07-01","1935-01-01","1935-07-01","1936-01-01","1936-07-01","1937-01-01","1937-07-01","1938-01-01","1938-07-01","1939-01-01","1939-07-01","1940-01-01"
"1",FALSE,"Albanian","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"2",FALSE,"Argentinian","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"3",FALSE,"Brazilian","","","8","8","8","8","","","","","","","","","","","","","","","","","","","","",""
"4",FALSE,"Chilean","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"5",FALSE,"Chinese","8","8","8","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"6",FALSE,"Cuban","","","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","",""
"7",FALSE,"Estonian","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8"
"8",FALSE,"Finish","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","",""
"9",FALSE,"Greek","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","8","8","8","8","8"
"10",FALSE,"Hungarian","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"11",FALSE,"Irish","8","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","",""
"12",FALSE,"Italian","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","",""
"13",FALSE,"Latvian","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"14",FALSE,"Lithuanian","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","",""
"15",FALSE,"Luxembourgish","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"16",FALSE,"Norwegian","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8"
"17",FALSE,"Panamanian","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","",""
"18",FALSE,"Portugese","","","","","8","8","8","8","8","8","8","8","8","8","8","","8","8","8","8","8","8","8","8","8","8","8"
"19",FALSE,"Romanian","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","8","8","8","8","8","8"
"20",FALSE,"Turkish","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8"
"21",FALSE,"Uruguayan","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","",""
"22",FALSE,"Venezuelan","","","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8"
