"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality"
"1",545,381,"Dr. Edmond Privat",0,"Interpreter","First Division","Transit Conference",1889,1921,3,10,NA,NA,NA,"Swiss"
"2",546,381,"Dr. Edmond Privat",0,"Interpreter","First Division","Translation",1889,1921,9,2,1921,10,7,"Swiss"
"3",547,381,"Dr. Edmond Privat",0,"Member of Section","First Division","Intellectual Cooperation and International Bureaux Section",1889,1921,12,7,1922,3,6,"Swiss"
"4",674,449,"Gabriel Hanotaux",0,"President","President","Advisory and Technical Committee for Communications and Transit of the League of Nations",1853,1921,3,10,NA,NA,NA,"French"
"5",2571,1856,"Joseph Louis Marie Charles Avenol",0,"Deputy Secretary General","First Division","Deputy Secretary-General's Office",1879,1923,2,1,1933,7,1,"French"
"6",2572,1856,"Joseph Louis Marie Charles Avenol",0,"Secretary-General","First Division","Secretary-General's Office",1879,1933,7,1,1940,8,31,"French"
"7",4437,3400,"Dr. G. G.  Kullmann",0,"Member of Section","First Division","Intellectual Cooperation and International Bureaux Section",NA,1931,3,30,1938,12,15,"Swiss"
"8",5446,4277,"Henri Bonnet",0,"Member of Section","First Division","Information Section",1888,1921,1,1,1931,1,3,"French"
"9",5954,4714,"Gerald Heguerty Furtado Abraham",0,"Member of Section","First Division","Political Section",1884,1920,8,1,1932,4,1,"British"
"10",5955,4714,"Gerald Heguerty Furtado Abraham",0,"Counsellor","Second Division","Political Section",1884,1932,4,1,1939,4,11,"British"
"11",5956,4714,"Gerald Heguerty Furtado Abraham",0,"Member of Section","First Division","London Office",1884,1945,6,19,1946,5,23,"British"
"12",5964,4718,"Bryan Fullerton Adams",0,"Secretary","First Division","Disarmament Section",1887,1928,11,27,1939,5,26,"British"
"13",6104,4856,"Robert André Felix Bach",0,"Expert/Specialist","First Division","Disarmament Section",1889,1937,9,1,1940,6,10,"French"
"14",6115,4861,"Francis Yeats-Brown",0,"Temporary Collaborator","First Division","Information Section",NA,1927,12,1,1921,12,21,"British"
"15",6129,4867,"Gladys Wade",1,"Temporary Collaborator","First Division","Information Section",NA,1931,8,31,1931,9,21,"British"
"16",6136,4871,"Francisco Walker-Linares",0,"Correspondent","Second Division","Information Section",1894,1929,5,1,1946,7,31,"South American"
"17",6137,4871,"Francisco Walker-Linares",0,"Delegate","Delegate","League of Nations",1894,NA,NA,NA,NA,NA,NA,"South American"
"18",6138,4872,"Jessie Irene Wall",1,"Expert/Specialist","First Division","Social Questions and Opium Traffic Section",1890,1926,1,25,1927,3,20,"British"
"19",6140,4874,"Ewan P. Wallis-Jones",0,"Temporary Collaborator","First Division","Information Section",NA,1934,9,7,1934,9,28,"British"
"20",6149,4880,"Frank Paul Walters",0,"Personal Assistant","First Division","Secretary-General's Office",1888,1919,5,15,1920,1,10,"British"
"21",6150,4880,"Frank Paul Walters",0,"Head of Section","First Division","Secretary-General's Office",1888,1920,1,10,NA,NA,NA,"British"
"22",6151,4880,"Frank Paul Walters",0,"Member of Section","First Division","Political Section",1888,1920,1,10,1931,1,1,"British"
"23",6152,4880,"Frank Paul Walters",0,"Head of Section","First Division","Political Section",1888,1931,1,1,1933,7,1,"British"
"24",6153,4880,"Frank Paul Walters",0,"Under Secretary General","First Division","Under Secretaries-Generals' in charge of Political Section Office",1888,1933,7,1,1939,6,1,"British"
"25",6154,4880,"Frank Paul Walters",0,"Deputy Secretary General","First Division","Deputy Secretary-General's Office",1888,1939,6,1,1940,5,29,"British"
"26",6157,4883,"Pierre Henry Watier",0,"Director","First Division","Communications and Transit Section",1882,1937,2,15,1937,8,20,"French"
"27",6188,4904,"C.H. Wykes",0,"Member of Section","First Division","Information Section",NA,1919,8,19,1920,1,9,"British"
"28",6190,4906,"Harold Nicolson",0,"Member of Section","First Division","Political Section",NA,1919,10,21,NA,NA,NA,"British"
"29",6191,4907,"Ingvad Nielsen",0,"Temporary Collaborator","First Division","Information Section",NA,1930,9,8,1930,9,29,"Scandinavian"
"30",6192,4908,"Maria Nielsen",1,"Temporary Collaborator","First Division","Information Section",NA,1928,12,5,1928,12,19,"Scandinavian"
"31",6195,4911,"Birgit Nissen",1,"Temporary Collaborator","First Division","Information Section",NA,1937,9,9,1937,9,30,"Scandinavian"
"32",6199,4913,"Frank Horsfall Nixon",0,"Acting Director","Director","Economic and Financial Section",NA,1921,1,15,1923,3,31,"British"
"33",6206,4915,"Julian Nogueira",0,"Member of Section","First Division","Mandates Section",NA,1921,1,28,NA,NA,NA,"South American"
"34",6207,4915,"Julian Nogueira",0,"Member of Section","First Division","Information Section",NA,1922,NA,NA,1934,10,14,"South American"
"35",6208,4915,"Julian Nogueira",0,"Member of Section","First Division","Political Section",NA,1934,10,15,1939,6,15,"South American"
"36",6217,4922,"Bertil Gotthard Ohlin",0,"Member of Section","First Division","Economic and Financial Section",NA,1931,1,1,1931,10,15,"Scandinavian"
"37",6220,4924,"Christian Olsen",0,"Member of Section","First Division","Economic and Financial Section",NA,1923,2,1,1924,7,31,"Scandinavian"
"38",6228,4931,"Konni Zilliacus",0,"Member of Section","First Division","Information Section",1894,1920,1,16,1938,10,15,"British"
"39",6233,4936,"Guillaume Théodore Conrad Zwerner",0,"Delegate of a Commission","League of Nations staff","High Commission for Refugees",1883,1922,NA,NA,1923,NA,NA,"Swiss"
