"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality"
"1",425,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"2",426,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"3",427,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventh Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"4",428,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"5",429,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"6",430,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Tenth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"7",431,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Eleventh Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"8",432,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Twelfth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"9",433,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"10",434,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
"11",435,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part two",1879,NA,NA,NA,NA,NA,NA,"French"
"12",436,279,"Léon Jouhaux",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventeenth Ordinary Session of the Assembly",1879,NA,NA,NA,NA,NA,NA,"French"
