"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"1",22,17,"Bernard Cornelis Johannes Loder",0,"League of Nations General Assembly Delegate","Representative","General Assembly: First Ordinary Session of the Assembly",1849,NA,NA,NA,NA,NA,NA,"",NA
"2",68,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: First Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"3",69,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"4",70,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"5",71,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Eighth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"6",72,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Ninth Ordinary Session of Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"7",73,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Tenth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"8",74,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Eleventh Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"9",75,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Twelfth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"10",76,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant at the Request of the Chinese Government",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"11",77,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Thirteenth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"12",78,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Fourteenth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"13",79,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Fifteenth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"14",80,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Special Session of the Assembly Convened in Virtue of Article 15 of the Covenant and in Accordance with the Assembly of September 27th, 1934",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"15",81,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part one",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"16",82,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Sixteenth Ordinary Session of the Assembly, part two",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
"17",83,46,"Prof. Nicolas Politis",0,"League of Nations General Assembly Delegate","Representative","General Assembly: Seventeenth Ordinary Session of the Assembly",1872,NA,NA,NA,NA,NA,NA,"Greek",NA
