"","X","id","pname","gender","fname","canonical_fname","oname","born_on_year","begin_on_year","begin_on_month","begin_on_day","end_on_year","end_on_month","end_on_day","nationality","fname_code"
"1",545,381,"Dr. Edmond Privat",0,"Interpreter","First Division","Transit Conference",1889,1921,3,10,NA,NA,NA,"Swiss",7
"2",674,449,"Gabriel Hanotaux",0,"President","President","Advisory and Technical Committee for Communications and Transit of the League of Nations",1853,1921,3,10,NA,NA,NA,"French",10
"3",6124,4865,"Solon George Xenakis",0,"Member of Section","First Division","Economic and Financial Section",1884,1925,6,21,NA,NA,NA,"Greek",8
"4",6128,4866,"Alejandro Aguilar Machado",0,"Temporary Collaborator","First Division","Information Section",NA,1931,5,13,NA,NA,NA,"Costa_Rican",8
"5",6137,4871,"Francisco Walker-Linares",0,"Delegate","Delegate","League of Nations",1894,NA,NA,NA,NA,NA,NA,"Chilean",8
"6",6150,4880,"Frank Paul Walters",0,"Head of Section","First Division","Secretary-General's Office",1888,1920,1,10,NA,NA,NA,"English",9
"7",6180,4899,"K'iuan Wou",0,"Temporary Collaborator","First Division","Information Section",1910,1937,10,11,1038,5,10,"Chinese",8
"8",6190,4906,"Harold Nicolson",0,"Member of Section","First Division","Political Section",NA,1919,10,21,NA,NA,NA,"English",8
"9",6206,4915,"Julian Nogueira",0,"Member of Section","First Division","Mandates Section",NA,1921,1,28,NA,NA,NA,"Uruguayan",8
"10",6234,4936,"Guillaume Théodore Conrad Zwerner",0,"Delegate of a Commission","League of Nations staff","High Commission for Refugees",1883,NA,NA,NA,1924,8,NA,"Swiss",8
"11",6249,4941,"Louis Variez",0,"Director","First Division","Labour Section",NA,NA,NA,NA,1920,3,NA,"",9
"12",6262,4948,"Eugène Henri René  Vigier",0,"Member of Section","First Division","Political Section",1886,1927,1,1,NA,NA,NA,"French",8
"13",6263,4948,"Eugène Henri René  Vigier",0,"Counsellor","Second Division","Political Section",1886,1931,4,2,NA,NA,NA,"French",10
"14",6281,4951,"Arturo Uslar-Pietri",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"Venezuelan",8
"15",6287,4955,"John Leslie Palmer",0,"Member of Section","First Division","Information Section",NA,1931,NA,NA,NA,NA,NA,"English",8
"16",6288,4955,"John Leslie Palmer",0,"Member of Section","First Division","Disarmament Section",NA,NA,NA,NA,NA,NA,NA,"English",8
"17",6294,4961,"Prof. P.K. Pariaja",0,"Temporary Collaborator","First Division","Information Section",NA,NA,NA,NA,NA,NA,NA,"",8
"18",6296,4963,"Humbert Denis Parodi",0,"Translator","First Division","Translation",NA,NA,NA,NA,NA,NA,NA,"Swiss",7
"19",6300,4967,"Giacomo Paulucci di Calboli Barone",0,"Under Secretary General","First Division","Under Secretary-Generals' in charge of Internal Administration Office",NA,NA,NA,NA,NA,NA,NA,"Italian",9
"20",6329,8752,"Olga Glogau",1,"Shorthand Typist","Second Division","General Assemblies Staff",1893,1924,7,28,NA,NA,NA,"Austrian",4
"21",6359,5010,"Hugh McKinnon Wood",0,"Member of Section","First Division","Legal Section",1884,1920,11,1,NA,NA,NA,"English",8
"22",6360,5010,"Hugh McKinnon Wood",0,"Counsellor","Second Division","Legal Section",1884,1931,1,1,NA,NA,NA,"English",10
"23",6365,5013,"Salvador Madariga",0,"Member of Section","First Division","Information Section",1886,1921,8,22,NA,NA,NA,"Spanish",8
