"name","avg_rank","sd_rank","median_rank","duration","entry_age","gender","nationality"
"Dr. Edmond Privat",2.66666666666667,0.577350269189626,3,12,32,"male","swiss"
"Gabriel Hanotaux",0,0,0,1,68,"male","french"
"Chikao/Chikas Fujisawa",2,0,2,30,27,"male","unknown"
"Commendatore Prof. Dionisio Anzilotti",1,0,1,23,51,"male","italian"
"Alfredo Blanco",2,0,2,71,45,"male","spanish"
"Joseph Louis Marie Charles Avenol",1,0,1,210,44,"male","french"
"Prof. Corrado Gini",2,0,2,19,NA,"male","italian"
"Prof. Domingo Barnès",2,0,2,13,NA,"male","spanish"
"Posthumus",2,0,2,1,NA,"male","dutch"
"L. Favre",9,0,9,36,NA,"female","unknown"
"Dr. G. G.  Kullmann",2,0,2,93,NA,"male","swiss"
"A. Kahan",5,0,5,15,NA,"male","unknown"
"Dr. Arthur Carl von Breycha-Vauthier",6,0,6,228,25,"male","austrian"
"Henri Bonnet",2,0,2,120,33,"male","french"
"Prof. John Bell Condliffe",2,0,2,72,40,"male","australian"
"Arthur Sweetser",0.8,0.836660026534076,1,324,31,"male","us-american"
"Prof. Louis Tardy",2,0,2,12,NA,"male","unknown"
"Yussuf S.  Alkabir",2,0,2,1,NA,"male","iraqi"
"Abdel Khalek  Hassouna Bey",2,0,2,1,NA,"male","egyptian"
"Gerald Heguerty Furtado Abraham",1.33333333333333,1.15470053837925,2,309,36,"male","english"
"Rev. A. H. Acheson",2,0,2,1,NA,"male","new_zealander"
"Joseph Adamek",2,0,2,114,46,"male","polish"
"Gerty Lucie Kotte-Rickli",6,0,6,194,32,"female","albanian,swiss"
"Bryan Fullerton Adams",4,0,4,126,41,"male","english"
"Setsuichi Aoki",2.66666666666667,1.15470053837925,2,95,32,"male","unknown"
"Robert André Felix Bach",2,0,2,33,48,"male","french"
"Dr. Jur. Thanassis (Athanase) Aghnides",1.14285714285714,0.899735410842437,1,298,30,"male","unknown"
"Francis Yeats-Brown",2,0,2,1,NA,"male","english"
"Dr. Hawkling Yen",2,0,2,16,NA,"male","chinese"
"Thchen-p'ong Yu",2,0,2,5,29,"male","chinese"
"Eugène Xammar",2,0,2,15,NA,"male","spanish"
"Solon George Xenakis",3.16666666666667,1.83484785926972,2,207,39,"male","greek"
"Alejandro Aguilar Machado",2,0,2,1,NA,"male","costa_rican"
"Gladys Wade",2,0,2,1,NA,"female","english"
"Vangala Shiva Ram",2,0,2,13,41,"male","indian"
"Pierre Waelbroeck-Rolin",2,0,2,6,28,"male","unknown"
"Abdul Waheed",2,0,2,84,29,"male","indian"
"Francisco Walker-Linares",3,1.4142135623731,3,1,35,"male","chilean"
"Jessie Irene Wall",2,0,2,14,36,"female","english"
"Bolton C.  Waller",2,0,2,1,NA,"male","irish"
"Ewan P. Wallis-Jones",2,0,2,1,NA,"male","english"
"Maurice Naessens",2,0,2,1,NA,"male","unknown"
"C.N. Nallamunthu Ammal",2,0,2,1,NA,"female","indian"
"Perihan Naci Eldeniz",2,0,2,1,NA,"female","turkish"
"Dattatraya Narayan Naravane",2,0,2,2,NA,"male","indian"
"Sarah Wambaugh",2,0,2,5,NA,"female","us-american"
"Frank Paul Walters",1.5,0.836660026534076,1,252,31,"male","english"
"Wojciech Wasiutynski",2,0,2,1,NA,"male","polish"
"Pierre Henry Watier",1,0,1,6,55,"male","french"
"Esma Nayman",2,0,2,1,NA,"female","turkish"
"Raymond Watt",2,0,2,1,NA,"male","australian"
"Cuno de Watteville",2,0,2,15,NA,"male","unknown"
"Stanislas Wedkiewicz",2,0,2,14,NA,"male","polish"
"Heinz Weiss",2,0,2,1,NA,"male","german"
"Peter Welps",2,0,2,95,39,"male","latvian"
"Egon Ranshofen-Wertheimer",2,0,2,122,36,"male","austrian"
"Stanislas Adolphe Neyman",2,0,2,229,NA,"male","polish"
"Agavnie Nina Narguiledjian",6,0,6,1,29,"female","armenian"
"Rudolf Wilde",2,0,2,1,NA,"male","lithuanian"
"Joseph Vivian Wilson",1.66666666666667,0.577350269189626,2,204,29,"male","new_zealander"
"Giselher Wirsing",2,0,2,1,NA,"male","german"
"Marcel Guillaume Jacques Wiser",2,0,2,12,36,"male","unknown"
"F.L. Wood",2,0,2,1,NA,"male","new_zealander"
"J.S. Woodsworth",2,0,2,1,NA,"male","canadian"
"K'iuan Wou",2,0,2,-5,27,"male","chinese"
"Monpeng Wou",2,0,2,1,NA,"female","chinese"
"Saofong Wu",2,0,2,141,30,"male","indian"
"Dr. Charles Leslie Park",2,0,2,200,NA,"male","australian"
"Aarne Wuorimaa",2,0,2,24,31,"male","finish"
"C.H. Wykes",2,0,2,5,NA,"male","english"
"Antonii Nicoloff",2,0,2,1,NA,"male","bulgarian"
"Harold Nicolson",2,0,2,1,NA,"male","english"
"Ingvad Nielsen",2,0,2,1,NA,"male","dane"
"Maria Nielsen",2,0,2,1,NA,"female","dane"
"A.H. Nijhoff",2,0,2,1,NA,"male","dutch"
"Joseph Hippolyte Marie Ghislain Nisot",2,0,2,214,NA,"male","unknown"
"Birgit Nissen",2,0,2,1,NA,"female","norwegian"
"Prof. Inazo Nitobé",1,0,1,88,NA,"female","unknown"
"Frank Horsfall Nixon",1,0,1,26,NA,"male","english"
"Philip John Noel-Baker",2,0,2,163,NA,"male","unknown"
"Julian Nogueira",2,0,2,221,NA,"male","uruguayan"
"Marc August Nolda",2,0,2,89,NA,"male","german"
"Anna Nowak",2,0,2,1,NA,"female","austrian"
"Ragnar Nurkse",2,0,2,146,NA,"male","estonian"
"M. Nyns-Lagye",2,0,2,1,NA,"male","unknown"
"John O'Donovan",2,0,2,1,NA,"male","irish"
"Bertil Gotthard Ohlin",2,0,2,9,NA,"male","swedish"
"Ella Amelia Doyle",6,0,6,1,38,"female","australian"
"Christian Olsen",2,0,2,17,NA,"male","dane"
"Georges Oprescu",2,0,2,84,NA,"male","romanian"
"William O'Sullivan-Molony",2,0,2,120,NA,"male","irish"
"Karl Ott",2,0,2,11,NA,"male","german"
"George de Ottlik",2,0,2,1,NA,"male","hungarian"
"Konni Zilliacus",2,0,2,225,26,"male","english"
"V. Zonbergs",2,0,2,1,NA,"male","latvian"
"Dr. Théodore Zouboff",2,0,2,1,NA,"male","bulgarian"
"Fulvio Zugaro",2,0,2,7,NA,"male","italian"
"Béatrice Olga Elisabeth Zukotynska",2,0,2,1,27,"female","polish"
"Guillaume Théodore Conrad Zwerner",2,0,2,96,39,"male","swiss"
"Ignacio J. Valdes",2,0,2,1,NA,"male","peruvian"
"Etelka Varady",2,0,2,1,NA,"female","hungarian"
"Daniele Vare",2,0,2,34,40,"male","italian"
"Luis Varela-Obregoso",3,1.4142135623731,3,15,NA,"male","peruvian"
"Louis Variez",1,0,1,1,NA,"male","unknown"
"Jules Vecozois",2,0,2,4,43,"male","latvian"
"Marc Veillet-Lavallee",2,0,2,115,30,"male","french"
"Paul Veismanis",2,0,2,1,NA,"male","latvian"
"Dr. Theodor Veiter",2,0,2,1,NA,"male","austrian"
"Felix Vejarano",2,0,2,60,26,"male","spanish"
"Haakon Vigander",2,0,2,1,NA,"male","norwegian"
"Eugène Henri René  Vigier",2.22222222222222,2.38630351054606,2,317,34,"male","french"
"Francisco Urrutia",4,0,4,190,20,"male","unknown"
"Franklin Urteaga",2,0,2,1,NA,"male","peruvian"
"Arturo Uslar-Pietri",2,0,2,NA,NA,"male","venezuelan"
"Pierre Achille Louis Eugène Quesnay",2,0,2,37,NA,"male","french"
"Anwar Iqbal Qureshi",2,0,2,3,29,"male","indian"
"Annikki Paasikivi",2,0,2,11,NA,"female","finish"
"John Leslie Palmer",2,0,2,1,NA,"male","english"
"Joycelyn  Horn",0,0,0,26,31,"female","australian"
"Raymond Newton Kershaw",2,0,2,69,26,"male","australian"
"Francesco Paoloni",4,0,4,6,NA,"male","italian"
"Georges Papavranoussis",2,0,2,1,NA,"male","greek"
"Anna Teresa Paradas",2,0,2,43,NA,"female","unknown"
"Prof. P.K. Pariaja",2,0,2,NA,NA,"male","unknown"
"Dr. Erik Knaffl-Lenz",2,0,2,6,NA,"male","austrian"
"Humbert Denis Parodi",3,0,3,NA,NA,"male","swiss"
"G. Parthasarathi",2,0,2,1,NA,"male","indian"
"Alex Paternotte",2,0,2,19,NA,"male","unknown"
"Germaine Stein-Laverniat",6,0,6,60,25,"female","austrian"
"Giacomo Paulucci di Calboli Barone",1,0,1,NA,NA,"male","italian"
"Adrianus Pelt",2,0,2,248,NA,"male","dutch"
"Pentcheff",2,0,2,1,NA,"male","bulgarian"
"J. Perego",2,0,2,1,NA,"male","italian"
"Prof. Fred Alexander",2,0,2,1,NA,"male","english"
"Hâmit Anabul",2,0,2,1,NA,"male","turkish"
