1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948
Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,;Belgium,
" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"",";" ""Bolivia"","
" ""Brazil"", (withdrew 14 June 1926)";" ""Brazil"", (withdrew 14 June 1926)";" ""Brazil"", (withdrew 14 June 1926)";" ""Brazil"", (withdrew 14 June 1926)";" ""Brazil"", (withdrew 14 June 1926)";" ""Brazil"", (withdrew 14 June 1926)";" ""Brazil"", (withdrew 14 June 1926)";;;;;;;;;;;;;;;;;;;;;;
 #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]; #British Empire separate membership for:[3]
" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"",";" ""United Kingdom"","
" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"",";" ""Australia"","
" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"",";" ""Canada"","
" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"",";" ""India"","
" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"",";" ""New Zealand"","
" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"",";" ""South Africa"","
