"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"  Armi Inkeri Hallstein-Kallia","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","",""
" Albert Dan Meurig Evans","","","","","","","","","","","","","7","7","7","7","7","7","7","7","7","7","","","","","8","",""
" Genevieve Jeanne Leonie Mayor","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","",""
"1889 Alexander Duncan Cumming Russell","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","","","","","","",""
"A.  Combaud","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A. Bavay","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"A. C.  Filloneau","","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A. Gordon Bagnall","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"A. J. Harrop","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"A. J. Pierre See","","","","","","7","","","","","","","","","","","","","","","","","","","","","","",""
"A. M. Stuyt","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"A. Martyn Finlay","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"A. Rienks","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"A.H. Nijhoff","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"A.J.  Brink","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Aarne Wuorimaa","","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","",""
"Abbé Nicolas Majerus","","","","","","","","","8","","","","","","","","","","","","","","","","","","","",""
"Abdel Khalek  Hassouna Bey","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Abdollah K. Entezam","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Abdu Aziz Puri","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
"Abdul Waheed","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","",""
"Abilio Coutinho","","","","","","","5","5","5","5","5","5, 7","7","7","7","7","","","","","","","","","","","","",""
"Abol-Hassan Khan Hekimi","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","",""
"Achille Reisdorff","","","","","","","","","","","","","","8","","","","","","","","","","","","","","",""
"Adolphe Kempner","","","","","","","","","7","","","","","","","","","","","","","","","","","","","",""
"Adrianus Pelt","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","","","","","","",""
"Adrien Jean Gabriel Marie Joseph Robinet de Cléry","","","","","","","","","","","","","7","","","","","","","","","","","","","","","",""
"Adrien Louis Billot","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","","","","","","","","","","","",""
"Agnes Jorgensen","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Ahmed Ramy","","","","","","","","","","","","","","","","","","","","8","8","","","","","","","",""
"Ailice Jane Cathrall","","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","","","","","","","","","",""
"Âke  Hammarskjöld","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alan Ebbutt","","","","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","","","","","","","","","",""
"Albéric Limpens","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albert Dufour-Féronce","","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","",""
"Albert Mordannt Hamilton","","","","","","","","","","","","","","","","8","","","","","","","","","","","","",""
"Albert van der Vekene","","","","","","","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","","","","","","",""
"Alberto Berio","","","","","","","","","","","","","","","","8","8","8","8","","","","","","","","","",""
"Albin Richard Rebello","","","7","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alex Paternotte","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alexander Ian Chesney","","","","","","","","","7","","","","","","","","","","","","","","","","","","","",""
"Alexander Loveday","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","9","9","9","","","","","","",""
"Alexander Przychowsky","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"Alexandra Cottou","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Alexandre Totesco","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"Alfred Briedis","","","","","","","","","","","","","","","","","","","","8","","","","","","","","",""
"Alfred Charles Mason","","","","","","","","","","","","7","","","","","","","","","","","","","","","","",""
"Alfred Eduard Husslein","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Alfred Francois Monod","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfred Lewis Davies","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","",""
"Alfred von Suchan","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Alfredo Blanco","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Ali Chaygan","","","","","","","","","","","","","","","","8","","","","","","","","","","","","",""
"Ali Riza Turel","","","","","","","","","","","","","","","","","8","","","","","","","","","","","",""
"Alice Church Bartlett","","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","","","","","","",""
