"pname","1919-01-01","1920-01-01","1921-01-01","1922-01-01","1923-01-01","1924-01-01","1925-01-01","1926-01-01","1927-01-01","1928-01-01","1929-01-01","1930-01-01","1931-01-01","1932-01-01","1933-01-01","1934-01-01","1935-01-01","1936-01-01","1937-01-01","1938-01-01","1939-01-01","1940-01-01","1941-01-01","1942-01-01","1943-01-01","1944-01-01","1945-01-01","1946-01-01","1947-01-01"
"","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"  Armi Inkeri Hallstein-Kallia","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","",""
" Albert Dan Meurig Evans","","","","","","","","","","","","","","","","","","","","","","","","","","","8","",""
"Aarne Wuorimaa","","","","","8","8","8","","","","","","","","","","","","","","","","","","","","","",""
"Abdul Waheed","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","",""
"Abol-Hassan Khan Hekimi","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","",""
"Adrianus Pelt","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","","","","","","",""
"Âke  Hammarskjöld","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albéric Limpens","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alberto Berio","","","","","","","","","","","","","","","","8","8","8","8","","","","","","","","","",""
"Alex Paternotte","","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alexander Loveday","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9","9","9","9","9","","","","","","",""
"Alexander Przychowsky","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"Alfred Eduard Husslein","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Alfred Francois Monod","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfred Hersley","","","","","","","","","","","","","9","9","9","9","9","9","","","","","","","","","","",""
"Alfred von Suchan","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","",""
"Alfredo Blanco","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Alice Tallichet","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8",""
"Amulya Chandra Chatterjee","","","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","",""
"André D. Toledano","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"André Ganem","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"André Sayous","","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andrée Marie Colin","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","",""
"Angel Maria Cespedes","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Anna Teresa Paradas","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","","","",""
"Anthony Buxton","","","","","","","","","","","","","9","","","","","","","","","","","","","","","",""
"Antoine Charles Pierre Denis","","8","8","8","8","8","8","8","","","","","","8","","","","","","","","","","","","","","",""
"Armando Mencia","","","","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","",""
"Arnold Herman van Ittersum","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","","","",""
"Arthur Bullard","","","","","","","","8","8","","","","","","","","","","","","","","","","","","","",""
"Arthur Elliott Felkin","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8",""
"Arthur Sweetser","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","8, 9","","","","",""
"Benedetto Gentile","","","","","","","","","","","","","8","8","8","8","","","","","","","","","","","","",""
"Bengt Helger","","","","","","","","","","","","","","","","","","","","8","8","","","","","","","",""
"Bertil Arne Renborg","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9",""
"Bertil Gotthard Ohlin","","","","","","","","","","","","","8","","","","","","","","","","","","","","","",""
"Bhagirath Nath Kaul","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","","","","",""
"Boleslaw Celinski","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8",""
"Branko Lukac","","","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8, 9","9","9","9","9","9","9","9",""
"Brian Durnin","","","","","","","","","","","","","","","","","","","","8","8","8","","","","","","",""
"Bruno Brivonesi","","","","","","8","8","8","8","8","8","8","8","","","","","","","","","","","","","","","",""
"C.H. Wykes","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carl Prausnitz","","","","","","","","","","","","8","","","","","","","","","","","","","","","","",""
"Carlos Garcia Palacios","","","","","","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","",""
"Cecil von Renthe-Fink","","","","","","","","","8","8","8","8","8","8","8","","","","","","","","","","","","","",""
"Charles Anthony Woodward Manning","","","","","","","","","","","8","","","","","","","","","","","","","","","","","",""
"Charles Blackman","","","","","","","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Charles Eugène Aloïs Marie Smets","","","","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","","","","","","","",""
"Chester Purves","","","","","","","","","","","","","","","","","","","8","8","8","8","","","","","","",""
"Chifeng Hsia","","","","","8","8","8","8","8","8","","","","","","","","","","","","","","","","","","",""
"Chikao/Chikas Fujisawa","","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","",""
"Christian Olsen","","","","","8","8","","","","","","","","","","","","","","","","","","","","","","",""
"Constance Myra Harris","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9"
