"","Year","number_of_workers"
"1",1919-01-01,26
"2",1920-01-01,64
"3",1921-01-01,79
"4",1922-01-01,92
"5",1923-01-01,102
"6",1924-01-01,104
"7",1925-01-01,101
"8",1926-01-01,116
"9",1927-01-01,128
"10",1928-01-01,130
"11",1929-01-01,137
"12",1930-01-01,152
"13",1931-01-01,167
"14",1932-01-01,156
"15",1933-01-01,148
"16",1934-01-01,136
"17",1935-01-01,129
"18",1936-01-01,131
"19",1937-01-01,141
"20",1938-01-01,135
"21",1939-01-01,124
"22",1940-01-01,93
"23",1941-01-01,38
"24",1942-01-01,30
"25",1943-01-01,28
"26",1944-01-01,28
"27",1945-01-01,30
"28",1946-01-01,27
